               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  35,            0.061823,            0.083322,            0.043928,            0.036638,             0.43506,             0.06252,            0.018119,            0.070398,             0.07908,            0.036352,             0.03364,           0.0046399,           0.0046399,           0.0036127,             0.01817,            0.049636,            0.037297,                   0,                   0,            0.015905,            0.071485,             0.13811,             0.14962,                   0,                   0
                  36,            0.071236,            0.057836,            0.040967,            0.054037,             0.47085,            0.061824,            0.018531,            0.070398,             0.07908,            0.036352,            0.031698,           0.0046983,           0.0046983,           0.0034669,            0.022074,            0.048306,            0.025734,                   0,            0.011607,            0.015331,            0.080409,             0.13501,             0.10231,                   0,            0.037879
                  37,            0.071073,            0.059568,            0.044316,             0.57699,             0.21805,             0.10613,            0.033777,             0.06695,            0.079828,            0.035527,            0.029753,           0.0047528,           0.0047528,             0.01434,            0.064038,            0.069145,            0.038673,                   0,            0.016463,            0.085067,             0.18296,             0.20591,             0.13023,                   0,            0.032593
                  38,            0.070132,            0.065696,            0.040054,             0.63786,             0.30076,             0.24009,            0.085603,             0.05839,            0.070035,            0.035181,            0.027803,           0.0048033,           0.0048033,            0.095741,             0.19997,             0.10716,            0.068163,                   0,            0.042589,             0.45012,             0.34759,             0.44691,             0.10052,                   0,            0.095422
                  39,            0.065987,            0.062499,            0.043341,             0.63786,             0.30076,             0.24009,            0.085603,             0.05839,            0.070035,            0.035181,             0.02585,           0.0048498,           0.0048498,            0.095741,             0.19997,             0.10716,            0.068163,                   0,            0.042589,             0.45012,             0.34759,             0.44691,             0.10052,                   0,            0.095422
                  40,             0.06645,            0.072092,            0.040336,             0.71264,             0.33849,              0.3574,              0.1185,            0.060964,            0.069525,            0.035348,            0.023892,           0.0048924,           0.0048924,             0.19823,             0.16748,             0.30172,             0.03518,                   0,           0.0083719,             0.59372,              0.5468,             0.89109,             0.09451,                   0,            0.018297
                  41,            0.070726,            0.073722,            0.042217,              0.7301,                0.35,             0.41821,              0.1988,            0.050464,            0.064385,            0.034966,            0.021931,            0.004931,            0.004931,             0.30915,             0.29814,             0.45022,            0.038619,            0.087168,           0.0095275,             0.69563,             0.71477,             0.91293,            0.066357,            0.096854,            0.022736
                  42,            0.061768,            0.075973,            0.043195,              0.7301,                0.35,             0.41821,              0.1988,            0.050464,            0.064385,            0.034966,            0.019966,           0.0049657,           0.0049657,             0.30915,             0.29814,             0.45022,            0.038619,            0.087168,           0.0095275,             0.69563,             0.71477,             0.91293,            0.066357,            0.096854,            0.022736
                  43,            0.062359,            0.070669,            0.037918,             0.60815,             0.31039,             0.18083,            0.086011,            0.059397,            0.070195,            0.034668,            0.017996,           0.0049964,           0.0049964,            0.079329,             0.26863,             0.12819,             0.01901,            0.012767,           0.0081397,             0.15513,             0.48153,             0.25328,            0.039058,             0.12767,            0.028335
                  44,            0.063868,            0.073768,            0.039946,             0.60815,             0.31039,             0.18083,            0.086011,            0.059397,            0.070195,            0.034668,            0.016023,           0.0050232,           0.0050232,            0.079329,             0.26863,             0.12819,             0.01901,            0.012767,           0.0081397,             0.15513,             0.48153,             0.25328,            0.039058,             0.12767,            0.028335
