               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  29,            0.048861,             0.04865,            0.030765,             0.81242,               0.475,             0.64052,             0.40195,            0.037171,            0.057626,            0.022576,            0.045531,           0.0045312,           0.0045312,             0.73529,             0.38514,              0.5137,            0.053726,            0.029555,              0.6943,             0.98786,               0.995,             0.81355,            0.098461,            0.051317,             0.89691
                  30,            0.046345,            0.053551,            0.031326,             0.81242,               0.475,             0.64052,             0.40195,            0.037171,            0.057626,            0.022576,            0.043636,            0.004636,            0.004636,             0.73529,             0.38514,              0.5137,            0.053726,            0.029555,              0.6943,             0.98786,               0.995,             0.81355,            0.098461,            0.051317,             0.89691
                  31,            0.046237,            0.054086,            0.028424,             0.85692,             0.51965,             0.66082,             0.36919,            0.043497,            0.055806,            0.022311,            0.041738,           0.0047376,           0.0047376,             0.45768,             0.69024,             0.39265,              0.1171,            0.043451,             0.51401,               0.995,               0.995,             0.76826,             0.21722,            0.058162,             0.93129
                  32,            0.049727,            0.067135,            0.029366,             0.86557,              0.5126,             0.67293,             0.45128,            0.041388,            0.058883,            0.021985,            0.039836,            0.004836,            0.004836,             0.75313,             0.60406,             0.60613,            0.040577,            0.029989,             0.67377,               0.995,               0.995,               0.995,            0.071523,            0.046516,             0.93457
                  33,            0.049138,            0.052849,            0.029232,             0.86557,              0.5126,             0.67293,             0.45128,            0.041388,            0.058883,            0.021985,            0.037931,           0.0049312,           0.0049312,             0.75313,             0.60406,             0.60613,            0.040577,            0.029989,             0.67377,               0.995,               0.995,               0.995,            0.071523,            0.046516,             0.93457
                  34,               0.054,             0.06947,            0.027773,             0.76988,             0.55873,             0.67866,             0.37191,            0.045093,            0.056884,            0.021901,            0.036023,           0.0050232,           0.0050232,             0.55079,             0.68208,             0.33381,            0.057831,            0.024145,             0.58283,               0.995,               0.995,             0.98161,             0.13236,            0.041519,             0.92645
                  35,            0.050877,            0.067378,            0.031305,             0.83334,             0.46212,             0.62048,             0.33484,            0.046076,            0.055519,            0.021497,            0.034112,            0.005112,            0.005112,             0.52605,             0.30048,             0.51008,            0.020616,            0.029073,             0.62274,               0.995,             0.75712,             0.92836,            0.050486,            0.042777,             0.94917
                  36,            0.053131,            0.046795,            0.029909,             0.83334,             0.46212,             0.62048,             0.33484,            0.046076,            0.055519,            0.021497,            0.032198,           0.0051976,           0.0051976,             0.52605,             0.30048,             0.51008,            0.020616,            0.029073,             0.62274,               0.995,             0.75712,             0.92836,            0.050486,            0.042777,             0.94917
                  37,            0.052771,            0.048311,            0.029985,             0.85648,             0.53249,             0.66371,             0.33819,            0.045975,            0.058383,            0.021556,             0.03028,             0.00528,             0.00528,              0.3892,             0.58407,             0.51022,             0.05236,               0.033,             0.46028,               0.995,               0.995,             0.86739,              0.1393,            0.046974,             0.93857
                  38,            0.051756,            0.054146,            0.026873,             0.74702,             0.56622,             0.68344,             0.39985,            0.044018,             0.05378,             0.02107,            0.028359,           0.0053592,           0.0053592,             0.59712,             0.69468,             0.40524,            0.050404,            0.029945,             0.62172,               0.995,               0.995,               0.995,             0.11039,            0.051867,             0.95336
                  39,            0.050527,            0.052265,            0.030745,             0.74702,             0.56622,             0.68344,             0.39985,            0.044018,             0.05378,             0.02107,            0.026435,           0.0054352,           0.0054352,             0.59712,             0.69468,             0.40524,            0.050404,            0.029945,             0.62172,               0.995,               0.995,               0.995,             0.11039,            0.051867,             0.95336
                  40,            0.054096,            0.061575,            0.027223,             0.98903,              0.4691,             0.68246,             0.40258,            0.047731,            0.057039,            0.020773,            0.024508,            0.005508,            0.005508,             0.45718,             0.71722,             0.51498,            0.034996,            0.064943,             0.62618,               0.995,               0.995,               0.995,            0.048457,             0.08717,             0.97413
                  41,            0.059482,            0.063497,            0.029741,             0.88562,             0.54224,             0.69953,             0.32464,            0.044146,            0.056607,            0.020565,            0.022578,           0.0055776,           0.0055776,             0.44623,             0.27002,             0.55691,             0.04757,              0.1167,             0.51039,             0.97618,               0.995,               0.995,            0.098227,              0.1743,             0.95846
                  42,            0.054165,             0.06782,            0.030391,             0.88562,             0.54224,             0.69953,             0.32464,            0.044146,            0.056607,            0.020565,            0.020644,            0.005644,            0.005644,             0.44623,             0.27002,             0.55691,             0.04757,              0.1167,             0.51039,             0.97618,               0.995,               0.995,            0.098227,              0.1743,             0.95846
                  43,            0.052427,            0.061773,            0.026122,              0.8209,             0.59418,             0.69115,             0.37116,             0.03396,            0.056538,            0.020346,            0.018707,           0.0057072,           0.0057072,             0.44988,             0.56769,              0.5439,              0.1193,            0.058759,             0.48745,               0.995,               0.995,             0.96455,             0.16869,            0.077077,             0.94658
                  44,            0.041047,            0.061225,            0.026854,              0.8209,             0.59418,             0.69115,             0.37116,             0.03396,            0.056538,            0.020346,            0.016767,           0.0057672,           0.0057672,             0.44988,             0.56769,              0.5439,              0.1193,            0.058759,             0.48745,               0.995,               0.995,             0.96455,             0.16869,            0.077077,             0.94658
                  45,            0.042388,             0.05257,            0.027671,             0.87258,                 0.5,             0.63636,             0.39957,            0.055364,            0.063087,            0.019922,            0.014824,            0.005824,            0.005824,             0.76109,             0.72446,             0.24869,            0.012001,             0.01088,             0.64028,               0.995,               0.995,             0.90939,            0.019949,             0.02366,             0.87514
                  46,            0.061408,            0.050328,            0.028115,             0.87258,                 0.5,             0.63636,             0.39957,            0.055364,            0.063087,            0.019922,            0.012878,           0.0058776,           0.0058776,             0.76109,             0.72446,             0.24869,            0.012001,             0.01088,             0.64028,               0.995,               0.995,             0.90939,            0.019949,             0.02366,             0.87514
                  47,            0.063229,            0.067699,             0.02371,             0.86771,             0.55151,             0.70595,             0.51887,            0.045492,            0.058011,            0.019714,            0.010928,            0.005928,            0.005928,             0.72527,             0.65189,             0.73816,            0.062413,             0.21168,              0.7238,               0.995,               0.995,               0.995,            0.093706,             0.23864,             0.91837
                  48,            0.054707,            0.044085,            0.030252,             0.86771,             0.55151,             0.70595,             0.51887,            0.045492,            0.058011,            0.019714,           0.0089752,           0.0059752,           0.0059752,             0.72527,             0.65189,             0.73816,            0.062413,             0.21168,              0.7238,               0.995,               0.995,               0.995,            0.093706,             0.23864,             0.91837
                  49,            0.059774,            0.056985,            0.029499,             0.66038,             0.58333,             0.50144,              0.1439,            0.067527,            0.058888,            0.019454,           0.0070192,           0.0060192,           0.0060192,             0.19591,             0.16748,             0.23703,            0.030185,            0.075055,             0.15777,             0.44328,             0.35885,               0.995,             0.12424,             0.25354,             0.83371
                  50,            0.071696,            0.055131,            0.026619,             0.66038,             0.58333,             0.50144,              0.1439,            0.067527,            0.058888,            0.019454,               0.006,               0.006,               0.006,             0.19591,             0.16748,             0.23703,            0.030185,            0.075055,             0.15777,             0.44328,             0.35885,               0.995,             0.12424,             0.25354,             0.83371
                  51,            0.067945,            0.078173,            0.030553,             0.97168,             0.54872,             0.67248,             0.47147,            0.038501,            0.055995,            0.019605,               0.006,               0.006,               0.006,             0.69828,             0.61035,             0.66727,            0.084177,            0.057604,             0.71112,               0.995,               0.995,               0.995,             0.11418,            0.064799,              0.8709
                  52,            0.044769,            0.058466,            0.024862,             0.97168,             0.54872,             0.67248,             0.47147,            0.038501,            0.055995,            0.019605,             0.00592,             0.00592,             0.00592,             0.69828,             0.61035,             0.66727,            0.084177,            0.057604,             0.71112,               0.995,               0.995,               0.995,             0.11418,            0.064799,              0.8709
                  53,            0.047865,            0.049353,            0.026586,             0.78479,             0.58337,             0.67654,             0.48603,            0.049744,            0.056233,            0.019335,             0.00584,             0.00584,             0.00584,             0.65255,             0.71856,             0.66401,             0.08777,            0.044174,             0.74913,               0.995,               0.995,             0.90961,             0.11238,             0.05225,               0.995
                  54,            0.052124,            0.063683,            0.028472,             0.78479,             0.58337,             0.67654,             0.48603,            0.049744,            0.056233,            0.019335,             0.00576,             0.00576,             0.00576,             0.65255,             0.71856,             0.66401,             0.08777,            0.044174,             0.74913,               0.995,               0.995,             0.90961,             0.11238,             0.05225,               0.995
                  55,             0.05485,            0.047711,            0.028317,             0.83847,             0.54305,             0.65078,             0.27289,            0.053474,            0.058837,            0.019748,             0.00568,             0.00568,             0.00568,             0.33062,             0.40866,             0.41779,             0.02804,            0.032371,             0.41985,               0.995,               0.995,             0.79775,            0.075597,            0.046322,               0.995
